raw_name,canonical_name,entity_type,matching_method,confidence,resolution_status
Crosslayer Labs,AI21 Labs,STARTUP,fuzzy,85.5,RESOLVED
Rivet,,STARTUP,,,UNRESOLVED
Openroll,,STARTUP,,,UNRESOLVED
Amika,,STARTUP,,,UNRESOLVED
Specific Labs,,STARTUP,,,UNRESOLVED
Moss,,STARTUP,,,UNRESOLVED
Zarna,,STARTUP,,,UNRESOLVED
MarkIt,,STARTUP,,,UNRESOLVED
Dome,,STARTUP,,,UNRESOLVED
Voltair,,STARTUP,,,UNRESOLVED
Clicks Health,,STARTUP,,,UNRESOLVED
Fastshot,,STARTUP,,,UNRESOLVED
Vector Legal,,STARTUP,,,UNRESOLVED
Antigen,,STARTUP,,,UNRESOLVED
LunaBill,,STARTUP,,,UNRESOLVED
Axial,,STARTUP,,,UNRESOLVED
Velvet,,STARTUP,,,UNRESOLVED
DiligenceSquared,,STARTUP,,,UNRESOLVED
Amera,,STARTUP,,,UNRESOLVED
Forge Robotics,,STARTUP,,,UNRESOLVED
Bluma,,STARTUP,,,UNRESOLVED
Lightberry,,STARTUP,,,UNRESOLVED
The Hog,,STARTUP,,,UNRESOLVED
Layers,,STARTUP,,,UNRESOLVED
Boom AI,Stability AI,STARTUP,fuzzy,85.5,RESOLVED
Freeport Markets,,STARTUP,,,UNRESOLVED
Miniswap,,STARTUP,,,UNRESOLVED
Rovi Health,,STARTUP,,,UNRESOLVED
MadeThis,,STARTUP,,,UNRESOLVED
General Astronautics,,STARTUP,,,UNRESOLVED
Jarmin,,STARTUP,,,UNRESOLVED
Exonic,,STARTUP,,,UNRESOLVED
Lemma,,STARTUP,,,UNRESOLVED
Perseus,,STARTUP,,,UNRESOLVED
Karumi,,STARTUP,,,UNRESOLVED
Icarus,,STARTUP,,,UNRESOLVED
Sava,,STARTUP,,,UNRESOLVED
TakeCareOS,,STARTUP,,,UNRESOLVED
Denki,,STARTUP,,,UNRESOLVED
Metorial,,STARTUP,,,UNRESOLVED
Kalpa Labs,,STARTUP,,,UNRESOLVED
Absurd,,STARTUP,,,UNRESOLVED
Clad Labs,,STARTUP,,,UNRESOLVED
Automax.ai,xAI,STARTUP,fuzzy,90.0,RESOLVED
Specific,,STARTUP,,,UNRESOLVED
Primer,,STARTUP,,,UNRESOLVED
Narrative,,STARTUP,,,UNRESOLVED
Crunched,,STARTUP,,,UNRESOLVED
Lua Global Inc,,STARTUP,,,UNRESOLVED
Philon,,STARTUP,,,UNRESOLVED
Sourcebot,,STARTUP,,,UNRESOLVED
Zalos,,STARTUP,,,UNRESOLVED
Prism,,STARTUP,,,UNRESOLVED
Aside,,STARTUP,,,UNRESOLVED
Scott AI,Stability AI,STARTUP,fuzzy,85.5,RESOLVED
Everest,,STARTUP,,,UNRESOLVED
Expected Parrot,,STARTUP,,,UNRESOLVED
Imagine AI,,STARTUP,,,UNRESOLVED
Anto Biosciences,,STARTUP,,,UNRESOLVED
Patent Watch,,STARTUP,,,UNRESOLVED
s2.dev,,STARTUP,,,UNRESOLVED
Tornyol,,STARTUP,,,UNRESOLVED
Nucleo,,STARTUP,,,UNRESOLVED
Leadbay,,STARTUP,,,UNRESOLVED
Pixley AI,,STARTUP,,,UNRESOLVED
Cortex AI,,STARTUP,,,UNRESOLVED
Sol,,STARTUP,,,UNRESOLVED
Thesis,,STARTUP,,,UNRESOLVED
Oxus,,STARTUP,,,UNRESOLVED
Play Health,,STARTUP,,,UNRESOLVED
Casey,,STARTUP,,,UNRESOLVED
Selfin,,STARTUP,,,UNRESOLVED
Compyle,,STARTUP,,,UNRESOLVED
Lexi,Perplexity AI,STARTUP,fuzzy,90.0,RESOLVED
Codyco,,STARTUP,,,UNRESOLVED
ComplyDo,,STARTUP,,,UNRESOLVED
Bravi,,STARTUP,,,UNRESOLVED
Rovr,,STARTUP,,,UNRESOLVED
FinalDose,,STARTUP,,,UNRESOLVED
Sunflower,,STARTUP,,,UNRESOLVED
Captain,,STARTUP,,,UNRESOLVED
Redapto,,STARTUP,,,UNRESOLVED
Helonic,,STARTUP,,,UNRESOLVED
Aleph Lab,,STARTUP,,,UNRESOLVED
Logical,,STARTUP,,,UNRESOLVED
Agentic Fabriq,,STARTUP,,,UNRESOLVED
Travo,,STARTUP,,,UNRESOLVED
Tensr,,STARTUP,,,UNRESOLVED
Kestrel AI,,STARTUP,,,UNRESOLVED
LogosGuard,,STARTUP,,,UNRESOLVED
Sciloop,,STARTUP,,,UNRESOLVED
Multifactor,,STARTUP,,,UNRESOLVED
Allus AI,Stability AI,STARTUP,fuzzy,85.5,RESOLVED
Unsiloed AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED
SF Tensor,,STARTUP,,,UNRESOLVED
AnswerThis,,STARTUP,,,UNRESOLVED
Terrain,,STARTUP,,,UNRESOLVED
Lakonia,,STARTUP,,,UNRESOLVED
SellRaze,,STARTUP,,,UNRESOLVED
Clerked,,STARTUP,,,UNRESOLVED
Semble AI,,STARTUP,,,UNRESOLVED
Flick,,STARTUP,,,UNRESOLVED
hillclimb,,STARTUP,,,UNRESOLVED
AtlasGrid,,STARTUP,,,UNRESOLVED
Wardstone,,STARTUP,,,UNRESOLVED
Nessie,,STARTUP,,,UNRESOLVED
Hypercubic,,STARTUP,,,UNRESOLVED
Cranston AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED
Trelium,,STARTUP,,,UNRESOLVED
Velum Labs,,STARTUP,,,UNRESOLVED
Veria Labs,,STARTUP,,,UNRESOLVED
Minro,,STARTUP,,,UNRESOLVED
Tell if AI,,STARTUP,,,UNRESOLVED
Bron,,STARTUP,,,UNRESOLVED
Koyal,,STARTUP,,,UNRESOLVED
Kaigo Health,,STARTUP,,,UNRESOLVED
Norra,,STARTUP,,,UNRESOLVED
Soren,,STARTUP,,,UNRESOLVED
Lunavo,,STARTUP,,,UNRESOLVED
dari.dev,,STARTUP,,,UNRESOLVED
The Context Company,,STARTUP,,,UNRESOLVED
Sorce,,STARTUP,,,UNRESOLVED
Caddy,,STARTUP,,,UNRESOLVED
Alt-X,,STARTUP,,,UNRESOLVED
Locus,,STARTUP,,,UNRESOLVED
Deeptrace,,STARTUP,,,UNRESOLVED
Aspect,,STARTUP,,,UNRESOLVED
Scoop,,STARTUP,,,UNRESOLVED
Hyperspell,,STARTUP,,,UNRESOLVED
Bolna AI,Stability AI,STARTUP,fuzzy,85.5,RESOLVED
Nexus,,STARTUP,,,UNRESOLVED
Sylvian,,STARTUP,,,UNRESOLVED
Zavo,,STARTUP,,,UNRESOLVED
MOVEdot,,STARTUP,,,UNRESOLVED
Parrot,,STARTUP,,,UNRESOLVED
Brickwise,,STARTUP,,,UNRESOLVED
Parse,,STARTUP,,,UNRESOLVED
Structured AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED
Uplane,,STARTUP,,,UNRESOLVED
AirCaps,,STARTUP,,,UNRESOLVED
Brickanta,,STARTUP,,,UNRESOLVED
F2,,STARTUP,,,UNRESOLVED
Remedy,,STARTUP,,,UNRESOLVED
Semiotic,,STARTUP,,,UNRESOLVED
Lapis,,STARTUP,,,UNRESOLVED
Efference,,STARTUP,,,UNRESOLVED
Nox Metals,,STARTUP,,,UNRESOLVED
Digipals,,STARTUP,,,UNRESOLVED
Blue,,STARTUP,,,UNRESOLVED
Mixy,,STARTUP,,,UNRESOLVED
Paloma,,STARTUP,,,UNRESOLVED
Uplift AI,,STARTUP,,,UNRESOLVED
RealRoots,,STARTUP,,,UNRESOLVED
Luminal,,STARTUP,,,UNRESOLVED
Freya,,STARTUP,,,UNRESOLVED
burnt,,STARTUP,,,UNRESOLVED
Avent,,STARTUP,,,UNRESOLVED
Ruvo,,STARTUP,,,UNRESOLVED
Veritus,,STARTUP,,,UNRESOLVED
Sapien,,STARTUP,,,UNRESOLVED
NOSO LABS,,STARTUP,,,UNRESOLVED
Vulcan Technologies,,STARTUP,,,UNRESOLVED
Bizzy AI,Stability AI,STARTUP,fuzzy,85.5,RESOLVED
Spotlight Realty,,STARTUP,,,UNRESOLVED
Interfere,,STARTUP,,,UNRESOLVED
Munify,,STARTUP,,,UNRESOLVED
RowFlow,,STARTUP,,,UNRESOLVED
TectoAI,,STARTUP,,,UNRESOLVED
Duranium,,STARTUP,,,UNRESOLVED
Smartbase,,STARTUP,,,UNRESOLVED
Perspectives Health,,STARTUP,,,UNRESOLVED
Modelence,,STARTUP,,,UNRESOLVED
Magnetic,,STARTUP,,,UNRESOLVED
Fleetline,,STARTUP,,,UNRESOLVED
CLODO,,STARTUP,,,UNRESOLVED
stagewise,,STARTUP,,,UNRESOLVED
Flywheel AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED
Button Computer,,STARTUP,,,UNRESOLVED
Juxta,,STARTUP,,,UNRESOLVED
Okibi,,STARTUP,,,UNRESOLVED
Forward,,STARTUP,,,UNRESOLVED
Qokedas,,STARTUP,,,UNRESOLVED
herdr,,STARTUP,,,UNRESOLVED
Lambda Robotics,,STARTUP,,,UNRESOLVED
Conifer,,STARTUP,,,UNRESOLVED
Simantic,,STARTUP,,,UNRESOLVED
Experiential Labs,AI21 Labs,STARTUP,fuzzy,85.5,RESOLVED
Edviro,,STARTUP,,,UNRESOLVED
Coasty,,STARTUP,,,UNRESOLVED
Caution,,STARTUP,,,UNRESOLVED
Atomarine,,STARTUP,,,UNRESOLVED
Billow AI Labs,Meta AI,STARTUP,fuzzy,85.5,RESOLVED
hardware intelligence,,STARTUP,,,UNRESOLVED
Osseus,,STARTUP,,,UNRESOLVED
Salem Robotics Inc,,STARTUP,,,UNRESOLVED
Robocurve,,STARTUP,,,UNRESOLVED
hiloop,,STARTUP,,,UNRESOLVED
Dawn Industries,,STARTUP,,,UNRESOLVED
Nex,,STARTUP,,,UNRESOLVED
OneCLI,,STARTUP,,,UNRESOLVED
Wondering,,STARTUP,,,UNRESOLVED
Tracer,,STARTUP,,,UNRESOLVED
Amulet,,STARTUP,,,UNRESOLVED
Avoca Systems,,STARTUP,,,UNRESOLVED
SubVysion,,STARTUP,,,UNRESOLVED
"SpaceFlow Technologies, Inc.",,STARTUP,,,UNRESOLVED
Petrarch,,STARTUP,,,UNRESOLVED
Locke,,STARTUP,,,UNRESOLVED
Florin,,STARTUP,,,UNRESOLVED
Earendil Robotics,,STARTUP,,,UNRESOLVED
Hebbian Robotics,,STARTUP,,,UNRESOLVED
Hop Aero,,STARTUP,,,UNRESOLVED
Agent FM,,STARTUP,,,UNRESOLVED
OpenRelay,,STARTUP,,,UNRESOLVED
Dock,,STARTUP,,,UNRESOLVED
HyperProbe,,STARTUP,,,UNRESOLVED
Grip,,STARTUP,,,UNRESOLVED
Skymerse,,STARTUP,,,UNRESOLVED
Hubble,,STARTUP,,,UNRESOLVED
Palisade,,STARTUP,,,UNRESOLVED
83 Sciences,,STARTUP,,,UNRESOLVED
Chromie,,STARTUP,,,UNRESOLVED
Lamb Labs,,STARTUP,,,UNRESOLVED
Mireye,,STARTUP,,,UNRESOLVED
Derya,,STARTUP,,,UNRESOLVED
Decawork,,STARTUP,,,UNRESOLVED
CarSignal,,STARTUP,,,UNRESOLVED
Axelrod,,STARTUP,,,UNRESOLVED
Levocred AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED
Praxis AI,,STARTUP,,,UNRESOLVED
Care GP,,STARTUP,,,UNRESOLVED
Radley,,STARTUP,,,UNRESOLVED
Agnost AI,,STARTUP,,,UNRESOLVED
Agentcard,,STARTUP,,,UNRESOLVED
ProvenMetal,,STARTUP,,,UNRESOLVED
Gamgee,,STARTUP,,,UNRESOLVED
Inkbox,,STARTUP,,,UNRESOLVED
Operon,,STARTUP,,,UNRESOLVED
Cosmic Robotics,,STARTUP,,,UNRESOLVED
Markov,,STARTUP,,,UNRESOLVED
Lumeria,,STARTUP,,,UNRESOLVED
Marengo,,STARTUP,,,UNRESOLVED
RonanRx Inc.,,STARTUP,,,UNRESOLVED
Executor,,STARTUP,,,UNRESOLVED
Last Accounting Company,,STARTUP,,,UNRESOLVED
Pacific,,STARTUP,,,UNRESOLVED
Luca IQ,,STARTUP,,,UNRESOLVED
Computable,,STARTUP,,,UNRESOLVED
Denta,,STARTUP,,,UNRESOLVED
Isengard Industries Inc,,STARTUP,,,UNRESOLVED
Ekho Labs,,STARTUP,,,UNRESOLVED
Vestris,,STARTUP,,,UNRESOLVED
Ultrasonium,,STARTUP,,,UNRESOLVED
Arbital,,STARTUP,,,UNRESOLVED
PokerClubHub,,STARTUP,,,UNRESOLVED
Neuron Industries,,STARTUP,,,UNRESOLVED
Neuromorphic,,STARTUP,,,UNRESOLVED
LATO,,STARTUP,,,UNRESOLVED
Risklytics,,STARTUP,,,UNRESOLVED
Daqstra,,STARTUP,,,UNRESOLVED
Qlo,,STARTUP,,,UNRESOLVED
Fabraix,,STARTUP,,,UNRESOLVED
Omanta,,STARTUP,,,UNRESOLVED
Rational,,STARTUP,,,UNRESOLVED
Aktoria Robotics,,STARTUP,,,UNRESOLVED
Vendo,,STARTUP,,,UNRESOLVED
Click,,STARTUP,,,UNRESOLVED
Whitespace,,STARTUP,,,UNRESOLVED
Orvixo,,STARTUP,,,UNRESOLVED
Almanac,,STARTUP,,,UNRESOLVED
TareBio,,STARTUP,,,UNRESOLVED
Greypoint Industries,,STARTUP,,,UNRESOLVED
Graphify Labs,,STARTUP,,,UNRESOLVED
Ooak Data,,STARTUP,,,UNRESOLVED
Nori,,STARTUP,,,UNRESOLVED
6thSense,,STARTUP,,,UNRESOLVED
Bloomy,,STARTUP,,,UNRESOLVED
machine0,,STARTUP,,,UNRESOLVED
Pluto,,STARTUP,,,UNRESOLVED
FlowManual,,STARTUP,,,UNRESOLVED
Stratum Industries,,STARTUP,,,UNRESOLVED
Peer,,STARTUP,,,UNRESOLVED
Molagri,,STARTUP,,,UNRESOLVED
Cerenovus,,STARTUP,,,UNRESOLVED
Agency Tool Company,,STARTUP,,,UNRESOLVED
Standard Machines,,STARTUP,,,UNRESOLVED
Traceforce,,STARTUP,,,UNRESOLVED
Definite,,STARTUP,,,UNRESOLVED
Alkera AI,,STARTUP,,,UNRESOLVED
Rasyn,,STARTUP,,,UNRESOLVED
Manifold,,STARTUP,,,UNRESOLVED
screenpipe,,STARTUP,,,UNRESOLVED
Zaplar,,STARTUP,,,UNRESOLVED
Prodigy Research,,STARTUP,,,UNRESOLVED
Touchmark,,STARTUP,,,UNRESOLVED
Exosat,,STARTUP,,,UNRESOLVED
Codag,,STARTUP,,,UNRESOLVED
Context.dev,,STARTUP,,,UNRESOLVED
Glen,Glean,STARTUP,fuzzy,88.88888888888889,RESOLVED
Stoa,,STARTUP,,,UNRESOLVED
Marble,,STARTUP,,,UNRESOLVED
Audun,,STARTUP,,,UNRESOLVED
COACH,,STARTUP,,,UNRESOLVED
Alloovium,,STARTUP,,,UNRESOLVED
Dialogus,,STARTUP,,,UNRESOLVED
Mosaic,,STARTUP,,,UNRESOLVED
Bizmark,,STARTUP,,,UNRESOLVED
Riften,,STARTUP,,,UNRESOLVED
Buildbox,,STARTUP,,,UNRESOLVED
RealPact,,STARTUP,,,UNRESOLVED
GUILD,,STARTUP,,,UNRESOLVED
Floracene,,STARTUP,,,UNRESOLVED
Rise Reforming,,STARTUP,,,UNRESOLVED
Instaplay,,STARTUP,,,UNRESOLVED
Verdant,,STARTUP,,,UNRESOLVED
IMPACT Drones,,STARTUP,,,UNRESOLVED
Insurf,,STARTUP,,,UNRESOLVED
Jcode,,STARTUP,,,UNRESOLVED
LemonLime,,STARTUP,,,UNRESOLVED
Gutgutgoose,,STARTUP,,,UNRESOLVED
Speko,,STARTUP,,,UNRESOLVED
Synapse Semiconductor,,STARTUP,,,UNRESOLVED
Understudy Labs,AI21 Labs,STARTUP,fuzzy,85.5,RESOLVED
Rote,,STARTUP,,,UNRESOLVED
Prized,,STARTUP,,,UNRESOLVED
Maingen,,STARTUP,,,UNRESOLVED
Enact,,STARTUP,,,UNRESOLVED
Rex,,STARTUP,,,UNRESOLVED
Zomma,,STARTUP,,,UNRESOLVED
Nebula Security,,STARTUP,,,UNRESOLVED
Kara,,STARTUP,,,UNRESOLVED
Trope,,STARTUP,,,UNRESOLVED
Parasma,,STARTUP,,,UNRESOLVED
Belvedir,,STARTUP,,,UNRESOLVED
Shielded,,STARTUP,,,UNRESOLVED
Olam Labs,,STARTUP,,,UNRESOLVED
Egoist Machines,,STARTUP,,,UNRESOLVED
Perceptron ML,,STARTUP,,,UNRESOLVED
Erinys,,STARTUP,,,UNRESOLVED
HERA,,STARTUP,,,UNRESOLVED
Donkey,,STARTUP,,,UNRESOLVED
OpenTrade,,STARTUP,,,UNRESOLVED
Hoplite,,STARTUP,,,UNRESOLVED
Pango,,STARTUP,,,UNRESOLVED
tash,,STARTUP,,,UNRESOLVED
Torus,,STARTUP,,,UNRESOLVED
Kebra,,STARTUP,,,UNRESOLVED
GitCafe,,STARTUP,,,UNRESOLVED
RightNow,,STARTUP,,,UNRESOLVED
Akkari,,STARTUP,,,UNRESOLVED
HeyClicky,,STARTUP,,,UNRESOLVED
Rindler,,STARTUP,,,UNRESOLVED
Proprio Robotics,,STARTUP,,,UNRESOLVED
Huscarl,,STARTUP,,,UNRESOLVED
Thomas,,STARTUP,,,UNRESOLVED
Cohesion,,STARTUP,,,UNRESOLVED
Maquoketa Research,,STARTUP,,,UNRESOLVED
Intelligence Factory,,STARTUP,,,UNRESOLVED
Amorphic Labs,,STARTUP,,,UNRESOLVED
rekursiv.ai,,STARTUP,,,UNRESOLVED
Clawvisor,,STARTUP,,,UNRESOLVED
Framewise Health,,STARTUP,,,UNRESOLVED
Arctic Health,,STARTUP,,,UNRESOLVED
Playabl.ai,,STARTUP,,,UNRESOLVED
Enjamb Labs,,STARTUP,,,UNRESOLVED
Hyper,,STARTUP,,,UNRESOLVED
InsForge,,STARTUP,,,UNRESOLVED
ReasonBlocks,,STARTUP,,,UNRESOLVED
Modern,,STARTUP,,,UNRESOLVED
Panacea,,STARTUP,,,UNRESOLVED
CentralComs,,STARTUP,,,UNRESOLVED
KugelAudio,Udio,STARTUP,fuzzy,90.0,RESOLVED
Klaimee,,STARTUP,,,UNRESOLVED
flowscope,,STARTUP,,,UNRESOLVED
Trident,,STARTUP,,,UNRESOLVED
Gigacatalyst,,STARTUP,,,UNRESOLVED
Arlo Industries,,STARTUP,,,UNRESOLVED
Astraea,,STARTUP,,,UNRESOLVED
Lattice Health,,STARTUP,,,UNRESOLVED
Atlas Discovery,,STARTUP,,,UNRESOLVED
Manicule,,STARTUP,,,UNRESOLVED
Avea Robotics,,STARTUP,,,UNRESOLVED
Mochatrade,,STARTUP,,,UNRESOLVED
Asendia AI,,STARTUP,,,UNRESOLVED
Revnu,,STARTUP,,,UNRESOLVED
Uno Wallet,,STARTUP,,,UNRESOLVED
Arden,,STARTUP,,,UNRESOLVED
AgentPhone,,STARTUP,,,UNRESOLVED
Gravy,,STARTUP,,,UNRESOLVED
Kinect,,STARTUP,,,UNRESOLVED
Runtime,,STARTUP,,,UNRESOLVED
YouArt,,STARTUP,,,UNRESOLVED
Expanse,,STARTUP,,,UNRESOLVED
CharacterQuilt,,STARTUP,,,UNRESOLVED
Pentagon,,STARTUP,,,UNRESOLVED
Arzana,,STARTUP,,,UNRESOLVED
Auxos,,STARTUP,,,UNRESOLVED
ProjectX,,STARTUP,,,UNRESOLVED
Tolmo,,STARTUP,,,UNRESOLVED
OpenWork,,STARTUP,,,UNRESOLVED
"Apollo Atomics, Inc.",,STARTUP,,,UNRESOLVED
General Aviation,,STARTUP,,,UNRESOLVED
OpenProse,,STARTUP,,,UNRESOLVED
Aster,,STARTUP,,,UNRESOLVED
Amboras,,STARTUP,,,UNRESOLVED
Hessian,,STARTUP,,,UNRESOLVED
RASPIRE,,STARTUP,,,UNRESOLVED
Plena Health,,STARTUP,,,UNRESOLVED
TesterArmy,,STARTUP,,,UNRESOLVED
Eden Robotics,,STARTUP,,,UNRESOLVED
Foaster,,STARTUP,,,UNRESOLVED
AquaShield,,STARTUP,,,UNRESOLVED
Ornadyne,,STARTUP,,,UNRESOLVED
ANORIA,,STARTUP,,,UNRESOLVED
AbInitio Bio,,STARTUP,,,UNRESOLVED
Memory Store,,STARTUP,,,UNRESOLVED
Saudara AI,,STARTUP,,,UNRESOLVED
Pops,,STARTUP,,,UNRESOLVED
Silmaril,,STARTUP,,,UNRESOLVED
BioStack Platforms,,STARTUP,,,UNRESOLVED
Ardent,,STARTUP,,,UNRESOLVED
Kuli,,STARTUP,,,UNRESOLVED
Wato,,STARTUP,,,UNRESOLVED
Tasklet,,STARTUP,,,UNRESOLVED
Chronicle Labs,AI21 Labs,STARTUP,fuzzy,85.5,RESOLVED
Walter,,STARTUP,,,UNRESOLVED
Aseon Labs,,STARTUP,,,UNRESOLVED
Soria,,STARTUP,,,UNRESOLVED
Armature,,STARTUP,,,UNRESOLVED
Collar,,STARTUP,,,UNRESOLVED
PLAN0 AI,Stability AI,STARTUP,fuzzy,85.5,RESOLVED
Zibra Labs,,STARTUP,,,UNRESOLVED
Ara,Character.ai,STARTUP,fuzzy,90.0,RESOLVED
ValCtrl,,STARTUP,,,UNRESOLVED
General Instinct,,STARTUP,,,UNRESOLVED
tday.com,,STARTUP,,,UNRESOLVED
ED1TH,,STARTUP,,,UNRESOLVED
Minicor,,STARTUP,,,UNRESOLVED
Degla Inc,,STARTUP,,,UNRESOLVED
Archer,,STARTUP,,,UNRESOLVED
River Markets,,STARTUP,,,UNRESOLVED
smol machines,,STARTUP,,,UNRESOLVED
Allowance,,STARTUP,,,UNRESOLVED
Harbor,,STARTUP,,,UNRESOLVED
Complir,,STARTUP,,,UNRESOLVED
AICE,,STARTUP,,,UNRESOLVED
Infera,,STARTUP,,,UNRESOLVED
Mount,,STARTUP,,,UNRESOLVED
Parrot,,STARTUP,,,UNRESOLVED
Result,,STARTUP,,,UNRESOLVED
Sidekick,,STARTUP,,,UNRESOLVED
Prototyping.io,,STARTUP,,,UNRESOLVED
Lumius,,STARTUP,,,UNRESOLVED
Adialante,,STARTUP,,,UNRESOLVED
Savant,,STARTUP,,,UNRESOLVED
Keyframe Labs,,STARTUP,,,UNRESOLVED
Voquill,,STARTUP,,,UNRESOLVED
Oddpool,,STARTUP,,,UNRESOLVED
Ontora,,STARTUP,,,UNRESOLVED
Napkin Math,,STARTUP,,,UNRESOLVED
Gojiberry AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED
Lab0,,STARTUP,,,UNRESOLVED
BentoLabs AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED
Lamina Labs,,STARTUP,,,UNRESOLVED
Kimpton AI,,STARTUP,,,UNRESOLVED
StableBrowse,,STARTUP,,,UNRESOLVED
Taiga,,STARTUP,,,UNRESOLVED
Pairio,,STARTUP,,,UNRESOLVED
Callab AI,,STARTUP,,,UNRESOLVED
Synphony,,STARTUP,,,UNRESOLVED
Dreach,,STARTUP,,,UNRESOLVED
Arga Labs,,STARTUP,,,UNRESOLVED
Andco,,STARTUP,,,UNRESOLVED
RentAHuman,,STARTUP,,,UNRESOLVED
InstaAgent,,STARTUP,,,UNRESOLVED
Salesgraph,,STARTUP,,,UNRESOLVED
Sherpa,,STARTUP,,,UNRESOLVED
Userlens,,STARTUP,,,UNRESOLVED
transload,,STARTUP,,,UNRESOLVED
Standout,,STARTUP,,,UNRESOLVED
shotwell.ai,,STARTUP,,,UNRESOLVED
Madrone,,STARTUP,,,UNRESOLVED
Pavoot,,STARTUP,,,UNRESOLVED
qomplement,,STARTUP,,,UNRESOLVED
Deep Interactions,,STARTUP,,,UNRESOLVED
KelAI,,STARTUP,,,UNRESOLVED
"HEVN, inc",,STARTUP,,,UNRESOLVED
Wealor,,STARTUP,,,UNRESOLVED
Elyra,,STARTUP,,,UNRESOLVED
Interfaze,,STARTUP,,,UNRESOLVED
Zolvo,,STARTUP,,,UNRESOLVED
Juno,,STARTUP,,,UNRESOLVED
Kinro,,STARTUP,,,UNRESOLVED
GovGuard,,STARTUP,,,UNRESOLVED
Superlog,,STARTUP,,,UNRESOLVED
GodHands,,STARTUP,,,UNRESOLVED
Limrun,,STARTUP,,,UNRESOLVED
Light Anchor,,STARTUP,,,UNRESOLVED
Hub,,STARTUP,,,UNRESOLVED
Tenet Industries,,STARTUP,,,UNRESOLVED
Atrisa,,STARTUP,,,UNRESOLVED
Trellis,,STARTUP,,,UNRESOLVED
The Company Company,Together AI,STARTUP,fuzzy,90.0,RESOLVED
Dayjob,,STARTUP,,,UNRESOLVED
InLoop Robotics,,STARTUP,,,UNRESOLVED
Zenbu,,STARTUP,,,UNRESOLVED
Andustry,,STARTUP,,,UNRESOLVED
Nine Fives,,STARTUP,,,UNRESOLVED
Incandor,,STARTUP,,,UNRESOLVED
Chert,,STARTUP,,,UNRESOLVED
Saffron,,STARTUP,,,UNRESOLVED
Discovered Materials,,STARTUP,,,UNRESOLVED
Lightsprint,,STARTUP,,,UNRESOLVED
Twolabs,,STARTUP,,,UNRESOLVED
Scope,,STARTUP,,,UNRESOLVED
Hexa,,STARTUP,,,UNRESOLVED
Palette,,STARTUP,,,UNRESOLVED
Rudus,,STARTUP,,,UNRESOLVED
Replicas,,STARTUP,,,UNRESOLVED
Totalis,,STARTUP,,,UNRESOLVED
WithAI,,STARTUP,,,UNRESOLVED
Osmaura,,STARTUP,,,UNRESOLVED
Instance,,STARTUP,,,UNRESOLVED
Illume Labs,,STARTUP,,,UNRESOLVED
Memoir,,STARTUP,,,UNRESOLVED
"PerfectBit, Inc.",,STARTUP,,,UNRESOLVED
Stage,,STARTUP,,,UNRESOLVED
Standard Signal,,STARTUP,,,UNRESOLVED
primitive,,STARTUP,,,UNRESOLVED
afterfive,,STARTUP,,,UNRESOLVED
Klarify,,STARTUP,,,UNRESOLVED
Surtr Defense Systems,,STARTUP,,,UNRESOLVED
Hedge,,STARTUP,,,UNRESOLVED
Cardinal,,STARTUP,,,UNRESOLVED
Wideframe,,STARTUP,,,UNRESOLVED
Martini,,STARTUP,,,UNRESOLVED
Litmus,,STARTUP,,,UNRESOLVED
Condor Energy,,STARTUP,,,UNRESOLVED
Remix,,STARTUP,,,UNRESOLVED
OpenVector,,STARTUP,,,UNRESOLVED
Shofo,,STARTUP,,,UNRESOLVED
Wayco,,STARTUP,,,UNRESOLVED
"Applied Electrodynamics, Inc.",,STARTUP,,,UNRESOLVED
Unifold,,STARTUP,,,UNRESOLVED
Carrot Labs,,STARTUP,,,UNRESOLVED
Dispatch,,STARTUP,,,UNRESOLVED
Bloom,,STARTUP,,,UNRESOLVED
Aurorin CAD,,STARTUP,,,UNRESOLVED
Fixture,,STARTUP,,,UNRESOLVED
DAIVIN!,,STARTUP,,,UNRESOLVED
Brumby (Formerly GrazeMate),,STARTUP,,,UNRESOLVED
Origami Robotics,,STARTUP,,,UNRESOLVED
Ossus,,STARTUP,,,UNRESOLVED
Rubric AI,,STARTUP,,,UNRESOLVED
Regbase,,STARTUP,,,UNRESOLVED
Zymbly,,STARTUP,,,UNRESOLVED
Ritivel,,STARTUP,,,UNRESOLVED
Polymorph,,STARTUP,,,UNRESOLVED
Khotan (formerly Pollinate),,STARTUP,,,UNRESOLVED
SpotPay,,STARTUP,,,UNRESOLVED
Poth Labs,,STARTUP,,,UNRESOLVED
VOYGR,,STARTUP,,,UNRESOLVED
MochaCare,,STARTUP,,,UNRESOLVED
Cova,,STARTUP,,,UNRESOLVED
Vela,,STARTUP,,,UNRESOLVED
Supafax,,STARTUP,,,UNRESOLVED
Talking Computers,,STARTUP,,,UNRESOLVED
Control Seat,,STARTUP,,,UNRESOLVED
Copperlane,,STARTUP,,,UNRESOLVED
Tsenta,,STARTUP,,,UNRESOLVED
Atlia,,STARTUP,,,UNRESOLVED
